"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Exercises database","3","0","QA engineer checks the number of exercises with the selected filter","0"
"0","","0","Progress","1","0","QA Engineer. Chess creating a note. On the Progress page. Make sure the note is created","0"
"0","","0","RoutineDatabase in workouts","1","0","QA Engineer check that the most downloaded workout is the first in the list of workouts","0"
"0","","0","Progress","1","0","QA Engineer. Chess creating a training session. On the Progress page. Make sure the training session with name - Training Summary 1 is created","0"
"0","","0","Exercises","1","0","QA Engineer Chess creating your own exercise on the Exercises page","0"
"0","","0","Blog","1","0","A QA engineer checks the display of the most popular article on a blog page","0"
"0","","0","Workouts","1","0","QA Engineer check that it is possible to print the selected workout","0"
"0","","0","Discover","1","0","The QA engineer checks for the presence of a previously created post and its deletion.","0"
"0","","0","RoutineDatabase in workouts","1","0","QA Engineer check that the number of sorted workouts matches.","0"
"0","","0","Workouts","1","0","QA Engineer testing the creation of a training day with two parameters, one exercise, name and description","0"
